bite:bites:biting:bit:bitten | TRANS INTRANS
leak:leaks:leaking:leaked:leaked | INTRANS
listen:listens:listening:listened:listened | INTRANS
negate:negates:negating:negated:negated | TRANS INTRANS
nibble:nibbles:nibbling:nibbled:nibbled | TRANS INTRANS
nurture:nurtures:nurturing:nurtured:nurtered | TRANS INTRANS
pack:packs:packing:packed:packed | TRANS INTRANS
pad:pads:padding:padded:padded | TRANS INTRANS
paint:paints:painting:painted:painted | TRANS INTRANS
plant:plants:planting:planted:planted | TRANS INTRANS
pull:pulls:pulling:pulled:pulled | TRANS INTRANS
rake:rakes:raking:raked:raked | TRANS INTRANS
rampage:rampages:rampaging:rampaged:rampaged | TRANS INTRANS
ransack:ransacks:ransacking:ransacked:ransacked | TRANS INTRANS
rip:rips:ripping:ripped:ripped | TRANS INTRANS
scold:scolds:scolding:scolded:scolded | TRANS INTRANS
scream:screams:screaming:screamed:screamed | INTRANS
sever:severs:severing:severed:severed | TRANS INTRANS
shield:shields:shielding:shielded:shielded | TRANS INTRANS
siege:sieges:sieging:sieged:sieged | TRANS INTRANS
silence:silences:silencing:silenced:silenced | TRANS INTRANS
slit:slits:slitting:slitted:slitted | TRANS INTRANS
smash:smashes:smashing:smashed:smashed | TRANS INTRANS
slither:slithers:slithering:slithered:slithered | INTRANS
rape:rapes:raping:raped:raped | TRANS INTRANS
grip:grips:gripping:gripped:gripped | TRANS INTRANS

